  time [s] theta [rad]  thetadot [rad/s]    k_energy    p_energy   total_energy
   3.07000    -0.51251           0.31159     0.04854     1.26040        1.30895
   3.08000    -0.50889           0.36187     0.06547     1.24305        1.30852
   3.09000    -0.50477           0.41179     0.08479     1.22344        1.30823
   3.10000    -0.50016           0.46131     0.10640     1.20165        1.30805
   3.11000    -0.49505           0.51037     0.13024     1.17775        1.30799
   3.12000    -0.48946           0.55894     0.15621     1.15184        1.30804
   3.13000    -0.48339           0.60695     0.18420     1.12400        1.30820
   3.14000    -0.47685           0.65437     0.21410     1.09435        1.30845
   3.15000    -0.46984           0.70115     0.24581     1.06300        1.30880
   3.16000    -0.46237           0.74724     0.27919     1.03005        1.30924
   3.17000    -0.45444           0.79260     0.31411     0.99564        1.30975
   3.18000    -0.44607           0.83718     0.35044     0.95990        1.31034
   3.19000    -0.43726           0.88094     0.38803     0.92296        1.31099
   3.20000    -0.42802           0.92384     0.42674     0.88497        1.31170
   3.21000    -0.41836           0.96583     0.46641     0.84606        1.31247
   3.22000    -0.40829           1.00687     0.50689     0.80638        1.31327
   3.23000    -0.39782           1.04692     0.54802     0.76610        1.31412
   3.24000    -0.38696           1.08595     0.58964     0.72536        1.31500
   3.25000    -0.37573           1.12391     0.63158     0.68433        1.31591
   3.26000    -0.36412           1.16077     0.67369     0.64316        1.31685
   3.27000    -0.35215           1.19649     0.71579     0.60202        1.31781
   3.28000    -0.33984           1.23103     0.75772     0.56106        1.31878
   3.29000    -0.32720           1.26437     0.79932     0.52046        1.31977
   3.30000    -0.31423           1.29647     0.84042     0.48036        1.32078
   3.31000    -0.30096           1.32730     0.88086     0.44094        1.32180
   3.32000    -0.28739           1.35682     0.92048     0.40235        1.32283
   3.33000    -0.27354           1.38501     0.95913     0.36474        1.32387
   3.34000    -0.25942           1.41185     0.99666     0.32826        1.32492
   3.35000    -0.24505           1.43730     1.03291     0.29307        1.32599
   3.36000    -0.23044           1.46134     1.06775     0.25931        1.32707
   3.37000    -0.21560           1.48394     1.10104     0.22712        1.32816
   3.38000    -0.20055           1.50509     1.13265     0.19662        1.32927
   3.39000    -0.18530           1.52477     1.16246     0.16794        1.33039
   3.40000    -0.16987           1.54294     1.19034     0.14120        1.33154
   3.41000    -0.15427           1.55961     1.21619     0.11651        1.33270
   3.42000    -0.13853           1.57474     1.23991     0.09397        1.33388
   3.43000    -0.12264           1.58833     1.26140     0.07369        1.33509
   3.44000    -0.10664           1.60036     1.28058     0.05573        1.33631
   3.45000    -0.09053           1.61083     1.29738     0.04017        1.33755
   3.46000    -0.07433           1.61971     1.31172     0.02709        1.33882
   3.47000    -0.05806           1.62700     1.32356     0.01653        1.34010
   3.48000    -0.04174           1.63270     1.33285     0.00854        1.34139
   3.49000    -0.02537           1.63679     1.33954     0.00316        1.34270
   3.50000    -0.00898           1.63928     1.34362     0.00040        1.34401
   3.51000     0.00742           1.64016     1.34506     0.00027        1.34533
   3.52000     0.02382           1.63943     1.34387     0.00278        1.34665
